JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Office Assistant,Emirates Logistics,Dubai,"And other general office Management activities.
Medical Insurance , Life Insurance, Ticket every 2 years , 30 days paid leave every year.",,12 days ago,https://ae.indeed.com/rc/clk?jk=698a6b694d1f36b0&fccid=2665673c8c3caef1&vjs=3
Office Assistant,Al Makamin Recruitment Services,Abu Dhabi,"The office Assistant should be minimum qualification of High school education with basic office skills.
The office boy shall capable to handle office systems,…",,7 days ago,https://ae.indeed.com/rc/clk?jk=c6998349b65331bf&fccid=84d18367ec6555ee&vjs=3
OFFICE ASSISTANT,Al Ghazi,Abu Dhabi,"Maintaining office equipment as needed.
Helping organize and maintain office common areas.
Greeting clients and visitors as needed.",,2 days ago,https://ae.indeed.com/rc/clk?jk=5a694aa8217e98aa&fccid=4d1ed84ec89c3b75&vjs=3
Administrative Assistant,Noorka,Dubai,"Good IT skills e.g Zoom use of MS office, Excel, PowerPoint, MS Word and Outlook.
A team focused role that requires good administrative and customer service…",,8 days ago,https://ae.indeed.com/rc/clk?jk=206534a7683b1868&fccid=0c8207750cf9bd85&vjs=3
Administrator,Deutsche Bank,Dubai,"Full / Part time: Full time.
Deutsche Bank's Private Bank corporate division combines the bank's expertise in private banking with Postbank in Germany and the…",,4 days ago,https://ae.indeed.com/rc/clk?jk=48c7e19bc6b34653&fccid=f1d8e147024abb3f&vjs=3
Executive Assistant – COO Office,Julphar,Ras al-Khaimah,"Job Title: Executive Assistant – COO Office Division: Operations ( Tech Ops, SCM , Biotech Production& Engineering) Country: UNITED ARAB EMIRATES Work Location:…",,8 days ago,https://ae.indeed.com/rc/clk?jk=7ae11737d3ff1bb8&fccid=02ea1bee6fdc4b67&vjs=3
Admin Assistant,ITC Infotech,Dubai,"Front Office executive & Admin assistant , replacement for Maria Rose A Alegria (PS ID 17046). Since Maria was allocated to another project, cannot create SO…",,30+ days ago,https://ae.indeed.com/rc/clk?jk=85f8cedf30cf46b3&fccid=47cca1a92b73a5b2&vjs=3
Administrative Assistant - Al Yasmina Academy,Aldar Academies,Abu Dhabi,"Proficient in operating PC, Facsimile, Photocopier, Telex, and various office machines, including working knowledge of prevailing popular application software…",,4 days ago,https://ae.indeed.com/rc/clk?jk=10179c49c693defb&fccid=6bb32fba2ef3c187&vjs=3
Production Administrative Assistant | Required for Manufacturing Office,ACTIKNOW,Dubai,"Monitor and verify for the operators on duty the correct reporting in SAP of the characteristics associated with inspection 03 in terms of the result, frequency…",,1 day ago,https://ae.indeed.com/rc/clk?jk=a2e004df39054856&fccid=eedbb193b40927ff&vjs=3
Personal Assistant,Brecks Group,Dubai,"Devise and maintain office filing system.
Knowledge of office management systems and procedures.
Up-to-date with latest office gadgets and applications.",,2 days ago,https://ae.indeed.com/rc/clk?jk=821c551287262154&fccid=e1f0e65e77c2460f&vjs=3
